"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проходим весь позитивный флоу для создания заказа","1802","Проверка успешного создания заказа для двух точек входа","tests","2026-03-16","passed","2026-03-16","TestOrderPage","test_order_page","",""
"Для каждого вопроса в разделе открываем его текст и проверяем на соответствие","534","Проверка списка в разделе 'О важном'","tests","2026-03-16","passed","2026-03-16","TestHomePage","test_home_page","",""
"Для каждого вопроса в разделе открываем его текст и проверяем на соответствие","529","Проверка списка в разделе 'О важном'","tests","2026-03-16","passed","2026-03-16","TestHomePage","test_home_page","",""
"Проходим весь позитивный флоу для создания заказа","1726","Проверка успешного создания заказа для двух точек входа","tests","2026-03-16","passed","2026-03-16","TestOrderPage","test_order_page","",""
"","130","Проверка редиректа на главную страницу после клика на логотип 'Самоката'","tests","2026-03-16","passed","2026-03-16","TestOrderPage","test_order_page","",""
"Для каждого вопроса в разделе открываем его текст и проверяем на соответствие","530","Проверка списка в разделе 'О важном'","tests","2026-03-16","passed","2026-03-16","TestHomePage","test_home_page","",""
"Для каждого вопроса в разделе открываем его текст и проверяем на соответствие","531","Проверка списка в разделе 'О важном'","tests","2026-03-16","passed","2026-03-16","TestHomePage","test_home_page","",""
"Для каждого вопроса в разделе открываем его текст и проверяем на соответствие","533","Проверка списка в разделе 'О важном'","tests","2026-03-16","passed","2026-03-16","TestHomePage","test_home_page","",""
"Для каждого вопроса в разделе открываем его текст и проверяем на соответствие","527","Проверка списка в разделе 'О важном'","tests","2026-03-16","passed","2026-03-16","TestHomePage","test_home_page","",""
"Для каждого вопроса в разделе открываем его текст и проверяем на соответствие","532","Проверка списка в разделе 'О важном'","tests","2026-03-16","passed","2026-03-16","TestHomePage","test_home_page","",""
"","1031","Проверка редиректа на страницу 'Дзена' после клика на логотип 'Яндекс'","tests","2026-03-16","passed","2026-03-16","TestOrderPage","test_order_page","",""
"Для каждого вопроса в разделе открываем его текст и проверяем на соответствие","534","Проверка списка в разделе 'О важном'","tests","2026-03-16","passed","2026-03-16","TestHomePage","test_home_page","",""
